arrest_date,race,charge_1_description,charge_1_type,charge_1_class,charge_2_description,charge_2_type,charge_2_class,charge_3_description,charge_3_type,charge_3_class,charge_4_description,charge_4_class,charge_4_type
2024-10-23 04:47:00,BLACK,AGG BATTERY/PEACE OFFICER,F,2,BURGLARY,F,2,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,A,M
2024-10-23 04:51:00,BLACK,BURGLARY,F,2,,,,,,,,,
2024-10-23 04:45:00,BLACK,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-23 03:23:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-23 03:53:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 02:54:00,BLACK,HOME INVASION/CAUSE INJURY,F,X,AGGRAVATED BATTERY/VICTIM 60+,F,3,VIO ORDER/PRIOR VIO OF ORDER,F,4,VIO ORDER/PRIOR VIO OF ORDER,4,F
2024-10-23 03:22:00,BLACK,BURGLARY - POSSESSION OF BURGLARY TOOLS,F,4,CRIM TRESPASS TO STATE LAND,M,A,,,,,,
2024-10-23 02:30:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-23 01:51:00,BLACK,AGG UUW/PERS/LOAD/NO FCCA/FOID,F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,DRIVING ON SUSPENDED LICENSE,M,A,UNREGISTERED/EXPIRED REGIS,U,
2024-10-23 02:17:00,WHITE,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-23 01:59:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 01:13:00,WHITE HISPANIC,DRIVER/SEATBELT/CHILD 8<16,,P,UNLICENSED,,P,,,,,,
2024-10-22 22:30:00,WHITE,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,VIOLATE ORDER PROTECTION,M,A,,,,,,
2024-10-22 21:47:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RECKLESS DRIVING,M,A,FLEEING/ATTEMPT ELUDE OFFICER,M,A,LEAVING THE SCENE,A,M
2024-10-23 01:23:00,WHITE HISPANIC,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-22 23:34:00,ASIAN / PACIFIC ISLANDER,CRIMINAL DEFACEMENT PROP <$500,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,
2024-10-23 00:26:00,WHITE,VIO PRETRIAL REL/FAMILY MEMBER,M,A,,,,,,,,,
2024-10-23 01:04:00,BLACK,VIOLATE ORDER PROTECTION,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 01:04:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 00:07:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-22 19:56:00,BLACK,MOB ACTION - VIOLENCE TO PERSON OR PROPERTY,M,C,,,,,,,,,
2024-10-22 00:24:00,BLACK,CRIM TRESPASS TO RESIDENCE,M,A,,,,,,,,,
2024-10-23 00:05:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,ONE WAY STREET/ALLEY SIGNS POSTED,,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-23 00:03:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 23:30:00,WHITE HISPANIC,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-22 23:15:00,BLACK,DRIVING RVK/SUSP DUI/SSS 4-9,F,4,DRIVING ON REVOKED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,P,
2024-10-22 23:05:00,BLACK,DRIVING ON REVOKED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,,P,,,
2024-10-22 20:19:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,ASSAULT - SIMPLE,M,C,MOB ACTION - VIOLENCE TO PERSON OR PROPERTY,M,C,,,
2024-10-22 23:05:00,BLACK,GUN OFFENDER DUTY TO REGISTER AND TO VERIFY,,L,,,,,,,,,
2024-10-22 23:02:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,"LIGHT, TAIL LIGHTS REQUIRED",,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-22 22:38:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,SOLICITING UNLAWFUL BUSINESS,,L,,,,,,
2024-10-22 22:10:00,BLACK,PCS - POSSESSION - LOOK-ALIKE SUBSTANCE/SUBQ,M,C,,,,,,,,,
2024-10-22 22:00:00,WHITE,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-22 22:02:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 21:20:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 22:05:00,BLACK,ISSUANCE OF WARRANT,,Z,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-22 21:30:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,POSS CAN/>30-100 GRAM/1ST,M,A,PARALLEL  PARKING - OBSTRUCTION OF TRAFFIC,,L,,,
2024-10-22 21:20:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 21:27:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 20:39:00,WHITE,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,RECKLESS DRIVING,M,A,VIOLATE CONCEAL/CARRY ACT,M,B,"MUFFLER CUT OUT,BYPASS,ETC-VIOLATION",L,
2024-10-22 21:07:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-22 20:51:00,BLACK,ISSUANCE OF WARRANT,,Z,CTA - SMOKING ON (98-126-1.8),,L,,,,,,
2024-10-22 21:03:00,WHITE,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-22 21:10:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,NO VALID REGISTRATION,,P,,,,,,
2024-10-22 20:09:00,BLACK HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 20:53:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 20:38:00,BLACK HISPANIC,CANC/REVOKE/SUSPEND REGIS/IL,M,A,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-22 20:32:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 20:33:00,BLACK,AGG UUW/VEH/FIR LOADED/NO FOID,F,4,POSS CAN/>100-500 GRAM/1ST,F,4,DRIVING ON SUSPENDED LICENSE,M,A,DOUBLE PARKING/NO STANDING,L,
2024-10-22 19:43:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-22 19:55:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-22 20:07:00,BLACK HISPANIC,OBSTRUCTING IDENTIFICATION,M,A,ISSUANCE OF WARRANT,,Z,USE CANNABIS IN PUBLIC PLACE,,L,,,
2024-10-22 20:09:00,WHITE HISPANIC,CANC/REVOKE/SUSPEND REGIS/IL,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,NO VALID REGISTRATION,,P,,,
2024-10-22 19:50:00,WHITE HISPANIC,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-22 19:41:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 15:44:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-22 19:31:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-22 19:08:00,WHITE HISPANIC,HRSMT/OBSCENE PROP/THREAT KILL,F,4,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,CRIM DAMAGE TO PROPERTY <$500,M,A,DRIVING ON SUSPENDED LICENSE,A,M
2024-10-22 17:47:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,POSS CAN/>30-100 GRAM/1ST,M,A,,,,,,
2024-10-22 18:00:00,BLACK,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,CRIMINAL TRESPASS TO LAND,M,B,,,
2024-10-22 17:14:00,BLACK,FAIL ADDRESS CHANGE/FOID,M,A,UNLWFL POSS CANNABIS/DRIVER,M,A,NONRESID FL DISCL CONCL FIR,M,B,THEFT LOST/MISLAID/PROP/<$500,B,M
2024-10-22 18:07:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,,,,,,,
2024-10-22 18:09:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DISPLAY ST REG-FRONT/REAR,,L,NO VALID REGISTRATION,,P,,,
2024-10-22 17:35:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-22 16:23:00,WHITE,THEFT LOST/MISLAID/PROP/<$500,M,B,,,,,,,,,
2024-10-22 16:33:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-22 16:01:00,BLACK,DISORDERLY CONDUCT - FALSE REPORT OF OFFENSE,F,4,,,,,,,,,
2024-10-22 16:29:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,BATTERY - CAUSE BODILY HARM,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,
2024-10-22 16:03:00,WHITE HISPANIC,MURDER - FIRST DEGREE (ATTEMPT),F,M,AGG BATTERY/DISCHARGE FIREARM,F,X,,,,,,
2024-10-22 15:56:00,BLACK,RETAIL THEFT/DISP MERCH/>$300,F,3,,,,,,,,,
2024-10-22 16:07:00,BLACK HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-22 16:14:00,WHITE HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-22 15:28:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/>$300,F,3,,,,,,,,,
2024-10-22 14:32:00,BLACK,AGGRAVATED BATTERY/VICTIM 60+,F,3,AGG BATTERY/PUBLIC PLACE,F,3,,,,,,
2024-10-22 15:36:00,BLACK,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-22 15:06:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,,,,,,,,,
2024-10-22 15:10:00,BLACK,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-22 14:03:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 15:06:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,,,,,,,,,
2024-10-22 13:59:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-22 14:25:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 13:49:00,BLACK,THEFT/STOLEN/<$500,M,A,,,,,,,,,
2024-10-22 12:23:00,WHITE,CRIM DAMAGE TO PROPERTY <$500,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,
2024-10-22 12:51:00,WHITE HISPANIC,CANC/REVOKE/SUSP REGIS NON-IL,M,A,,,,,,,,,
2024-10-22 12:51:00,BLACK,FLS AD SYNTHETIC DRUG PRODUCT,F,3,DRIVING ON REVOKED LICENSE,M,A,OBSTRUCTED FRONT WINDSHIELD,,P,,,
2024-10-22 08:49:00,BLACK HISPANIC,MURDER - FIRST DEGREE (ATTEMPT),F,M,AGG BATTERY/USE DEADLY WEAPON,F,3,,,,,,
2024-10-22 14:10:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 11:55:00,WHITE HISPANIC,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-22 12:45:00,BLACK,ISSUANCE OF WARRANT,,Z,NO VALID REGISTRATION,,P,,,,,,
2024-10-22 12:35:00,BLACK,AGG BATTERY/TRANSIT EMPLOYEE,F,3,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-22 10:30:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-22 11:28:00,BLACK,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-22 12:14:00,WHITE HISPANIC,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,DRIVING ON REVOKED LICENSE,M,A,BROKEN/INOPERABLE LAMPS,,L,IVC - OBSTRUCT DRIVER'S VIEW/1ST&2ND,P,
2024-10-22 12:11:00,BLACK,PCS - POSSESSION - 15>200 PILLS ECSTACY/ANALOG,F,1,PCS - POSSESSION - 15>200 PILLS ECSTACY/ANALOG,F,1,NO TURN SIGNALS-VIOLATION,,L,IVC - NOT WEARING SEAT BELT/DRIVER,P,
2024-10-22 11:46:00,BLACK,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,2,,,,,,,,,
2024-10-22 11:33:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-22 11:25:00,WHITE HISPANIC,DRIVING ON REVOKED LICENSE,M,A,IVC - FAIL TO REDUCE SPEED,,P,,,,,,
2024-10-22 11:59:00,BLACK,ROBBERY - ARMED W/ FIREARM,F,X,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,
2024-10-22 11:51:00,BLACK,THEFT/UNAUTHORIZED CON/$500,M,A,,,,,,,,,
2024-10-22 09:53:00,BLACK,AGG BATTERY/USE DEADLY WEAPON,F,3,,,,,,,,,
2024-10-22 11:00:00,BLACK,AGGRAVATED BATTERY/VICTIM 60+,F,3,AGG BATTERY/PUBLIC PLACE,F,3,ISSUANCE OF WARRANT,,Z,,,
2024-10-22 11:15:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 10:57:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-22 09:51:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-22 08:53:00,BLACK,CRIM DMG/GOVT PROP/>$500-$10K,F,3,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,
2024-10-22 10:45:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 10:49:00,BLACK,CRIM TRESPASS TO RESIDENCE,M,A,,,,,,,,,
2024-10-22 09:58:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-22 09:53:00,BLACK,AGG BATTERY/PUBLIC PLACE,F,3,,,,,,,,,
2024-10-22 10:01:00,WHITE,ISSUANCE OF WARRANT,,Z,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,
2024-10-22 10:07:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 09:40:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 08:35:00,BLACK,ISSUANCE OF WARRANT,,Z,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-22 08:17:00,WHITE HISPANIC,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,,P,,,
2024-10-22 08:35:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-22 08:30:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-22 07:06:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-22 08:10:00,WHITE,UUW - WEAPON - CARRY/POSSESS FIREARM/1ST,M,A,,,,,,,,,
2024-10-22 07:17:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 07:00:00,BLACK,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,2,,,,,,,,,
2024-10-22 06:07:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,IVC - NOT WEARING SEAT BELT/DRIVER,,P,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-22 03:43:00,WHITE,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-22 02:15:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,VIOLATE ORDER PROTECTION,M,A,DRIVING ON SUSPENDED LICENSE,M,A,"POSSESS OF A LASER SIGHT ACC,FIREARM SILENCER,MUFFLER",L,
2024-10-22 04:49:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-22 03:19:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-22 02:28:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-22 02:23:00,WHITE HISPANIC,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-22 00:25:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,DRIVING ON REVOKED LICENSE,M,A,IVC - DISOBEY TRAFFIC CONTROL DEVICE,,P,IVC - DISOBEY TRAFFIC CONTROL DEVICE,P,
2024-10-21 23:47:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,L,IVC - FAIL TO REDUCE SPEED,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-22 01:28:00,WHITE HISPANIC,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,4,UNLWFL POSS CANNABIS/DRIVER,M,A,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,A,M
2024-10-22 01:03:00,WHITE,ISSUANCE OF WARRANT,,Z,IVC - HEAD/TAIL/SIDE LIGHTS 1ST & 2ND,,P,UNLICENSED,,P,,,
2024-10-22 00:54:00,BLACK,CRIM TRESPASS TO RESIDENCE,M,A,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-21 23:58:00,BLACK,CRIM TRES TO VEH/PHY CONTROL,M,A,,,,,,,,,
2024-10-22 00:38:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,ISSUANCE OF WARRANT,,Z,REAR VIEW MIRRORS,,L,OBSTRUCTION OF INTERSECTION,L,
2024-10-22 00:35:00,WHITE HISPANIC,UUW -  WEAPON - MACHINE GUN /AUTOMATIC WEAPON,F,2,,,,,,,,,
2024-10-21 23:31:00,WHITE HISPANIC,THEFT/UNAUTHORIZED CON/$500,M,A,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-21 20:51:00,WHITE,DRIVING ON REVOKED LICENSE,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - FAIL TO REDUCE SPEED,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 23:46:00,UNKNOWN / REFUSED,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 22:32:00,WHITE HISPANIC,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-21 23:20:00,WHITE HISPANIC,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-21 23:06:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,,,,,,,,,
2024-10-21 22:13:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,,,,,,,,,
2024-10-21 22:22:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,,,,,,,
2024-10-21 22:48:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-21 23:11:00,BLACK,MURDER - FIRST DEGREE (ATTEMPT),F,M,DOMESTIC BATTERY - OTHER PRIOR,F,4,,,,,,
2024-10-21 22:56:00,BLACK,DRIVING ON REVOKED LICENSE,M,A,ISSUANCE OF WARRANT,,Z,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 22:53:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-21 22:42:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 21:05:00,BLACK,UUW - WEAPON - FELON POSSES WEAPON/2ND+,F,2,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-21 22:35:00,UNKNOWN / REFUSED,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 21:12:00,BLACK,ANNUAL GUN OFFENDER REGISTRATION,,L,,,,,,,,,
2024-10-21 21:23:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,,,,,,,,,
2024-10-21 21:39:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,UUW - WEAPON - CARRY/POSSESS FIREARM/1ST,M,A,,,
2024-10-21 21:35:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-21 21:02:00,WHITE HISPANIC,PLATE SEC/HGHT/VISL/STCKR/3+,M,C,ISSUANCE OF WARRANT,,Z,OPERATE UNINSURED MTR VEHICLE,,P,UNLICENSED,P,
2024-10-21 21:30:00,BLACK,FLEEING/ATTEMPT ELUDE OFFICER,M,A,,,,,,,,,
2024-10-21 21:38:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,,,,
2024-10-21 22:19:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,IVC - IMPROPER LANE CHANGE WITHOUT SIGNAL,,P,,,,,,
2024-10-21 21:17:00,BLACK,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,,,,
2024-10-21 21:08:00,BLACK,RECKLESS CONDUCT,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,,,,
2024-10-21 21:17:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 21:34:00,WHITE HISPANIC,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,DRIVING ON SUSPENDED LICENSE,M,A,OBSTRUCTING IDENTIFICATION,M,A,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,P,
2024-10-21 21:14:00,BLACK,RECKLESS DRIVING,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,OPERATE MTR VEHICLE/REGIS/SUSPENDED/NON-INSURED,,U,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,L,
2024-10-21 21:18:00,BLACK,CRIM DMG/GOVT PROP/<$500 (ATTEMPT),F,4,RECKLESS CONDUCT,M,A,OBSTRUCTING IDENTIFICATION,M,A,ISSUANCE OF WARRANT,Z,
2024-10-21 20:53:00,BLACK,POSS TITLE/REGISTRATION W/O ASSIGNMENT,F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 20:11:00,BLACK,ISSUANCE OF WARRANT,,Z,DRIVER/SEATBELT/CHILD 8<16,,P,,,,,,
2024-10-21 20:33:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,NO VALID REGISTRATION,,P,,,
2024-10-21 19:30:00,BLACK,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-21 17:55:00,WHITE HISPANIC,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,,P,IVC - FAIL TO REDUCE SPEED,,P,,,
2024-10-21 20:19:00,BLACK HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 20:01:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 20:26:00,WHITE HISPANIC,URINATE OR DEFECATE ON PUBLIC WAY,,L,,,,,,,,,
2024-10-21 20:15:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-21 20:01:00,BLACK,VIOL SEX OFFENDER REGISTRATION,F,3,,,,,,,,,
2024-10-21 20:14:00,BLACK,DRIVING/NEVER ISSUED LICENSE,M,B,ISSUANCE OF WARRANT,,Z,"LIGHT, LICENSE PLATE",,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 20:09:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-21 20:02:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,ISSUANCE OF WARRANT,,Z,SOLICITING UNLAWFUL BUSINESS,L,
2024-10-21 19:20:00,BLACK,ANNUAL GUN OFFENDER REGISTRATION,,L,,,,,,,,,
2024-10-21 19:28:00,BLACK,RESIST/OBSTRUCT OFFICER,M,A,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,
2024-10-21 19:20:00,BLACK,ANNUAL GUN OFFENDER REGISTRATION,,L,,,,,,,,,
2024-10-21 19:11:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-21 17:57:00,BLACK,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-21 18:15:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 19:35:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,UNLICENSED,P,
